#V3.30
#C North Sea/Skagerrak/Eastern Channel Cod
#
26 #_styr
100 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
25 #_Nages
1 #_N_areas
3 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1	1	1	0	Fishery	#_1
3	 1	1	2	0	Survey 	#_2
3	 1	1	2	0	env    	#_3
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	        0	 0.01	#_1         
    1	1	1	        0	 0.01	#_2         
    2	1	1	        0	 0.01	#_3         
    3	1	1	        0	 0.01	#_4         
    4	1	1	        0	 0.01	#_5         
    5	1	1	        0	 0.01	#_6         
    6	1	1	        0	 0.01	#_7         
    7	1	1	        0	 0.01	#_8         
    8	1	1	        0	 0.01	#_9         
    9	1	1	        0	 0.01	#_10        
   10	1	1	        0	 0.01	#_11        
   11	1	1	        0	 0.01	#_12        
   12	1	1	        0	 0.01	#_13        
   13	1	1	        0	 0.01	#_14        
   14	1	1	        0	 0.01	#_15        
   15	1	1	        0	 0.01	#_16        
   16	1	1	        0	 0.01	#_17        
   17	1	1	        0	 0.01	#_18        
   18	1	1	        0	 0.01	#_19        
   19	1	1	        0	 0.01	#_20        
   20	1	1	        0	 0.01	#_21        
   21	1	1	        0	 0.01	#_22        
   22	1	1	        0	 0.01	#_23        
   23	1	1	        0	 0.01	#_24        
   24	1	1	        0	 0.01	#_25        
   25	1	1	        0	 0.01	#_26        
   26	1	1	325066000	0.005	#_27        
   27	1	1	294627000	0.005	#_28        
   28	1	1	274196000	0.005	#_29        
   29	1	1	257364000	0.005	#_30        
   30	1	1	238826000	0.005	#_31        
   31	1	1	222344000	0.005	#_32        
   32	1	1	204100000	0.005	#_33        
   33	1	1	189685000	0.005	#_34        
   34	1	1	181168000	0.005	#_35        
   35	1	1	179682000	0.005	#_36        
   36	1	1	183880000	0.005	#_37        
   37	1	1	188552000	0.005	#_38        
   38	1	1	190544000	0.005	#_39        
   39	1	1	187109000	0.005	#_40        
   40	1	1	179870000	0.005	#_41        
   41	1	1	178672000	0.005	#_42        
   42	1	1	185351000	0.005	#_43        
   43	1	1	187807000	0.005	#_44        
   44	1	1	183487000	0.005	#_45        
   45	1	1	170610000	0.005	#_46        
   46	1	1	162487000	0.005	#_47        
   47	1	1	159927000	0.005	#_48        
   48	1	1	160016000	0.005	#_49        
   49	1	1	161338000	0.005	#_50        
   50	1	1	160160000	0.005	#_51        
   51	1	1	160973000	0.005	#_52        
   52	1	1	169956000	0.005	#_53        
   53	1	1	182591000	0.005	#_54        
   54	1	1	189996000	0.005	#_55        
   55	1	1	198387000	0.005	#_56        
   56	1	1	203777000	0.005	#_57        
   57	1	1	196946000	0.005	#_58        
   58	1	1	187202000	0.005	#_59        
   59	1	1	180185000	0.005	#_60        
   60	1	1	177721000	0.005	#_61        
   61	1	1	178315000	0.005	#_62        
